id,title,url,reactions,created_at,updated_at,user,labels
1236099238,Streams for the Web Cryptography API,https://api.github.com/repos/mozilla/standards-positions/issues/637,0,2022-05-14T19:01:51Z,2022-05-16T10:40:52Z,tniessen,w3c-cg
667970382,WebXR Layers API,https://api.github.com/repos/mozilla/standards-positions/issues/412,0,2020-07-29T16:19:51Z,2020-08-05T08:39:22Z,MortimerGoro,w3c
667251335,"Pointer Events, azimuthAngle and altitudeAngle",https://api.github.com/repos/mozilla/standards-positions/issues/411,0,2020-07-28T17:38:45Z,2020-08-05T08:29:44Z,liviutinta,w3c
666791203,"add Media Queries Level 5: prefers-reduced-motion, prefers-contrast, …",https://api.github.com/repos/mozilla/standards-positions/issues/410,0,2020-07-28T05:54:41Z,2021-01-15T11:27:03Z,tantek,
664789844,EME persistent-usage-record session,https://api.github.com/repos/mozilla/standards-positions/issues/407,0,2020-07-23T21:57:03Z,2020-07-23T22:24:58Z,xhwang-chromium,w3c
663241808,Local Font Access API,https://api.github.com/repos/mozilla/standards-positions/issues/401,1,2020-07-21T19:05:31Z,2022-05-11T07:57:20Z,janileppanen,w3c-cg
656206466,"Media Queries Level 5: prefers-reduced-motion, prefers-contrast, prefers-color-scheme",https://api.github.com/repos/mozilla/standards-positions/issues/393,0,2020-07-13T23:05:44Z,2021-03-12T07:57:19Z,tantek,w3c
652617354,First Input Delay,https://api.github.com/repos/mozilla/standards-positions/issues/387,0,2020-07-07T20:29:01Z,2020-08-14T01:14:41Z,bdekoz,w3c|w3c-cg
652604028,Cumulative Layout Shift,https://api.github.com/repos/mozilla/standards-positions/issues/386,0,2020-07-07T20:11:42Z,2020-08-04T20:41:20Z,bdekoz,w3c
644883140,consider replacing caniuse links with MDN links,https://api.github.com/repos/mozilla/standards-positions/issues/375,0,2020-06-24T19:40:56Z,2020-06-25T00:26:17Z,dbaron,enhancement
