[freeCodeCamp](https://github.com/freeCodeCamp/freeCodeCamp),345335,28583
[996.ICU](https://github.com/996icu/996.ICU),262092,21527
[free-programming-books](https://github.com/EbookFoundation/free-programming-books),232213,48692
[coding-interview-university](https://github.com/jwasham/coding-interview-university),218997,59344
[awesome](https://github.com/sindresorhus/awesome),199687,23351
[vue](https://github.com/vuejs/vue),195472,32037
[developer-roadmap](https://github.com/kamranahmedse/developer-roadmap),193881,27921
[public-apis](https://github.com/public-apis/public-apis),191014,22043
[react](https://github.com/facebook/react),187420,38539
[system-design-primer](https://github.com/donnemartin/system-design-primer),178874,32626
