ciuName,description,id,mozBugUrl,mozPosition,mozPositionDetail,mozPositionIssue,org,title,url
,"Adds imagesrcset and imagesizes attributes to &lt;link> which correspond to the srcset and sizes attributes of &lt;img> respectively, for the purposes of preloading.",image-preload,https://bugzilla.mozilla.org/show_bug.cgi?id=1515760,worth prototyping,A relevant aspect of &lt;link rel=preload> support.,130,WHATWG,&lt;link>'s imagesrcset and imagesizes attributes,https://html.spec.whatwg.org/multipage/semantics.html#attr-link-imagesrcset
,This specification defines a well-known URL that sites can use to make their change password forms discoverable by tools. This simple affordance provides a way for software to help the user find the way to change their password.,change-password-url,,worth prototyping,,372,Proposal,A Well-Known URL for Changing Passwords,https://wicg.github.io/change-password-url/
,,aria-annotations,https://bugzilla.mozilla.org/show_bug.cgi?id=1608975,important,"This contains changes needed to support screen reader accessibility of comments, suggestions, and other annotations in published documents and online word processing applications.",253,W3C,ARIA Annotations,https://github.com/aleventhal/aria-annotations
,This document describes an API providing access to accelerated shape detectors (e.g. human faces) for still images and/or live image feeds.,shape-detection-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1553738,defer,"We're concerned about possible complexity, variations in support between operating systems, and possible fingerprinting surface, but we'd like to wait and see how this proposal evolves.",21,Proposal,Accelerated Shape Detection in Images,https://wicg.github.io/shape-detection-api
,This memo introduces an informational HTTP status code that can be used to convey hints that help a client make preparations for processing the final response.,http-early-hints,https://bugzilla.mozilla.org/show_bug.cgi?id=1407355,worth prototyping,"We believe that experimentation with the 103 response code is worthwhile. We do have some concerns about the lack of clear interaction with Fetch, which we hope will be specified before the mechanism is put into widespread use.",134,IETF,An HTTP Status Code for Indicating Hints (103),https://tools.ietf.org/html/rfc8297
,"A proposal for an 'asynchronous atomic wait' for ECMAScript, primarily for use in agents that are not allowed to block.",atomics-wait-async,https://bugzilla.mozilla.org/show_bug.cgi?id=1467846,worth prototyping,Represents a meaningful way for the main thread to interact with blocking concurrent patterns in workers and other off-thread work.,433,Ecma,Atomics.waitAsync,https://tc39.es/proposal-atomics-wait-async/
,"This API will help by improving the audio-mixing of websites with native apps, so they can play on top of each other, or play exclusively.",audio-focus,https://bugzilla.mozilla.org/show_bug.cgi?id=1579791,worth prototyping,This proposes a straightforward API for improving mixing of audio produced by website.,203,Proposal,Audio Focus API,https://wicg.github.io/audio-focus/explainer
,"This specification defines an API allowing web applications to set an application-wide badge, shown in an operating-system-specific place associated with the application (such as the shelf or home screen), for the purpose of notifying the user when the state of the application has changed (e.g., when new messages have arrived), without showing a more heavyweight notification.",badging,,worth prototyping,,108,Proposal,Badging API,https://wicg.github.io/badging/
bigint,This proposal adds arbitrary-precision integers to ECMAScript.,bigint,https://bugzilla.mozilla.org/show_bug.cgi?id=1366287,non-harmful,Shipping in Firefox.,65,Ecma,BigInt,https://tc39.github.io/proposal-bigint/
,"Bundled exchanges provide a way to bundle up groups of HTTP request+response pairs to transmit or store them together. They can include multiple top-level resources with one identified as the default by a manifest, provide random access to their component exchanges, and efficiently store 8-bit resources.",bundled-exchanges,,non-harmful,"The mechanism as currently sketched out seems to provide potentially useful functionality for a number of use cases. This is a complex mechanism, and substantial detail still needs to be filled in. We believe the general intent of the feature is well-enough defined to designate as ""non-harmful"" at this time (rather than ""defer""), although we anticipate potentially revisiting this decision as the mechanism is refined.",264,Proposal,Bundled HTTP Exchanges,https://tools.ietf.org/html/draft-yasskin-wpack-bundled-exchanges
